Venue,Date,Start,End,Title,Event
35 Madeira Rd,2024-07-19,10:30,12:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78040
Ventnor Rugby Football Club,2024-07-19,12:00,23:00,Shuttle Bus 10 Day Ticket,https://ventnorexchange.littleboxoffice.com/events/82420
The Big Top,2024-07-19,13:00,15:00,Revel Puck Circus: The Nose Dive Assembly,https://ventnorexchange.littleboxoffice.com/events/69698
Ventnor Exchange,2024-07-19,13:00,14:00,A Walk Through The Solar System,https://ventnorexchange.littleboxoffice.com/events/76348
Pier Street Playhouse,2024-07-19,13:00,14:00,Taverner and James: Lucky Dip,https://ventnorexchange.littleboxoffice.com/events/76463
35 Madeira Rd,2024-07-19,14:00,16:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78041
Ingrams Yard,2024-07-19,14:00,15:30,Macready! Dickens' Theatrical Friend,https://ventnorexchange.littleboxoffice.com/events/72610
Pier Street Playhouse,2024-07-19,15:30,16:30,Take Up Space,https://ventnorexchange.littleboxoffice.com/events/76443
The Flowersbrook Inn,2024-07-19,16:00,17:30,Second Time Around: House of Cards,https://ventnorexchange.littleboxoffice.com/events/74938
Ventnor Arts Club,2024-07-19,16:30,17:30,The 'Escaping Debt Collectors' Tour,https://ventnorexchange.littleboxoffice.com/events/72626
Ingrams Yard,2024-07-19,17:00,18:00,The Enfield Poltergeist,https://ventnorexchange.littleboxoffice.com/events/76480
The Magpie,2024-07-19,17:30,18:30,Impromptu Shakespeare,https://ventnorexchange.littleboxoffice.com/events/69536
Pier Street Playhouse,2024-07-19,18:00,19:00,Piano Smashers,https://ventnorexchange.littleboxoffice.com/events/75864
Ventnor Library,2024-07-19,18:00,20:00,"The Isle of Wight: Women, History, Books and Places (SOLD OUT)",https://ventnorexchange.littleboxoffice.com/events/77791
The Flowersbrook Inn,2024-07-19,19:00,20:00,Alexandra Haddow: Third Party (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/75698
Ventnor Arts Club,2024-07-19,19:30,20:30,An Evening With Nana Funk,https://ventnorexchange.littleboxoffice.com/events/74937
Ingrams Yard,2024-07-19,19:30,20:30,Alex Kealy: The Fear,https://ventnorexchange.littleboxoffice.com/events/71979
The Magpie,2024-07-19,19:30,20:30,Ahir Shah: Ends,https://ventnorexchange.littleboxoffice.com/events/71975
The Big Top,2024-07-19,20:30,22:20,Back to Black: The Music of Amy Winehouse,https://ventnorexchange.littleboxoffice.com/events/76552
The Magpie,2024-07-19,21:15,23:00,Pick of the Fringe,https://ventnorexchange.littleboxoffice.com/events/69763
Ingrams Yard,2024-07-19,21:30,22:30,Garrett Millerick: Needs More Space (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/76672
Ventnor Arts Club,2024-07-19,21:30,22:30,An Evening With Nana Funk,https://ventnorexchange.littleboxoffice.com/events/76412
35 Madeira Rd,2024-07-20,10:30,12:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78043
The Nest,2024-07-20,11:00,12:00,Scaravelli Inspired Yoga Class,https://ventnorexchange.littleboxoffice.com/events/82585
Ingrams Yard,2024-07-20,11:00,12:00,Tales in the Key of Terror - Spooky Storytelling Performance,https://ventnorexchange.littleboxoffice.com/events/76921
The Flowersbrook Inn,2024-07-20,12:00,13:00,Tatty Devine Mini Bunting Necklace Jewellery Making Workshop,https://ventnorexchange.littleboxoffice.com/events/78340
The Big Top,2024-07-20,13:00,15:00,Revel Puck Circus: The Nose Dive Assembly,https://ventnorexchange.littleboxoffice.com/events/69737
Pier Street Playhouse,2024-07-20,13:00,14:00,Taverner and James: Lucky Dip,https://ventnorexchange.littleboxoffice.com/events/76465
Ventnor Exchange,2024-07-20,13:00,14:00,A Walk Through The Solar System,https://ventnorexchange.littleboxoffice.com/events/76353
The Flowersbrook Inn,2024-07-20,13:30,14:30,Tatty Devine Flower Bunting Necklace Jewellery Making Workshop,https://ventnorexchange.littleboxoffice.com/events/78342
Ingrams Yard,2024-07-20,14:00,15:15,The Strange Case of Dr Jekyll and Mr Hyde,https://ventnorexchange.littleboxoffice.com/events/72618
35 Madeira Rd,2024-07-20,14:00,16:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78044
Ventnor Botanic Garden,2024-07-20,14:30,16:00,The Tale of Jemima Puddle-Duck,https://ventnorexchange.littleboxoffice.com/events/78343
The Flowersbrook Inn,2024-07-20,15:00,16:30,Introduction to improvised comedy,https://ventnorexchange.littleboxoffice.com/events/78030
Pier Street Playhouse,2024-07-20,15:30,16:30,Take Up Space,https://ventnorexchange.littleboxoffice.com/events/76445
Ventnor Arts Club,2024-07-20,16:30,17:30,The 'Escaping Debt Collectors' Tour,https://ventnorexchange.littleboxoffice.com/events/72759
The Flowersbrook Inn,2024-07-20,17:00,18:00,Janine Harouni: Does New Jokes (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/76424
Ingrams Yard,2024-07-20,17:00,18:00,The Enfield Poltergeist,https://ventnorexchange.littleboxoffice.com/events/76483
The Magpie,2024-07-20,17:30,18:30,Impromptu Shakespeare,https://ventnorexchange.littleboxoffice.com/events/69538
Pier Street Playhouse,2024-07-20,18:00,19:00,Piano Smashers,https://ventnorexchange.littleboxoffice.com/events/76258
Ventnor Botanic Garden,2024-07-20,18:30,20:00,Great Expectations,https://ventnorexchange.littleboxoffice.com/events/78345
The Flowersbrook Inn,2024-07-20,19:00,20:00,Jacob Hawley: SPACE,https://ventnorexchange.littleboxoffice.com/events/78239
The Magpie,2024-07-20,19:30,20:30,Show: Girls,https://ventnorexchange.littleboxoffice.com/events/69550
