Venue	Date	Start	End	Title	Event	Tags	Event Type	Is On Sale	Is Sold Out	Description
Club Lunar	2026-07-17	12:00	12:00	Club Lunar (Full Festival Wristband)	https://purchase.vfringe.co.uk/EventAvailability?EventId=65601		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, jazz, African, Latin and cumbia lovingly curated by the Ventnor Exchange team. Guest Headliners Fri 17th The SoulFire Project | Latin Cumbia Sat 18th The Turbans | Balkan | Global Fusion Sun 19th Evolfo | Brooklyn pysch Mon 20th Hula Hulagans | Hawaiian | Roots Tues 21st Fugo Kid | Hip-Hop| Jazz Weds 22nd Tommy Khosla & Jawari | Jazz | Sitar | Folk Thurs 23rd Sol’s ‘Hot Town Stompers' | New Orleans Jazz Fri 24th Tuba Libres | Brass Party Band Sat 25th Malphino | Cumbia | Tropical Sun 26th Ushti Baba | pan-European folk-rave Alongside these live bands will be late night cabaret, circus and the best DJ's of the Fringe providing the place to party!
Pier Street Playhouse	2026-07-17	12:30	13:20	Marriage Material	https://purchase.vfringe.co.uk/EventAvailability?EventId=59801		Performing Arts	true	false	Charlie is on the hunt for a husband and needs your help. After enduring years of hilariously disastrous dates (cheers Hinge), true love has proven elusive so she is taking matters into her own hands. But is she marriage material? Journey with her as she blends comedy, poetry and theatre into this joyous antidote to breakups and singledom; laying out all the love, heartbreak, insecurity and joy of her past, before you ultimately have the deciding vote as to whether she is marriage material or not. Can you succeed where the dating apps have failed and help Charlie end her everlasting singledom? Or will she remain alone forever? Marriage Material is a 50-minute, one-woman show. It breaks down the boundaries of genre to connect with you on one of the most fundamental tasks within our society – finding our life partners.
Ventnor Exchange	2026-07-17	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
Bijou	2026-07-17	15:30	16:30	Lights in the Desert	https://purchase.vfringe.co.uk/EventAvailability?EventId=55401		Music	true	false	Dear Someone, this is the last of four sets; the end of the globe. The theme for this final year is 'no one is an island, but I don't feel connected'. All original songs, played mainly on guitar. The music is just beyond the borders of country, blues, film soundtrack and primitivism. Inspired by western films, samurai films, cults, outsider art and road trip books. Next year you will be seeing other people.
Pier Street Playhouse	2026-07-17	15:30	16:30	The King In Yellow	https://purchase.vfringe.co.uk/EventAvailability?EventId=60001		Performing Arts	true	false	Tide Nor Time Players present a live radio play performance of The King in Yellow, adapted and directed by Simon Bucher-Jones. This richly atmospheric production draws upon Robert W. Chambers’ haunting and enigmatic play, transforming it into an immersive theatrical experience that unfolds entirely through voice, sound, and imagination. Blurring the line between stage and mind! The performance invites audiences to step into a world where reality feels fragile and something ancient and unsettling presses just beyond the veil. The production captures the creeping dread and psychological unease at the heart of The King In Yellow. The infamous forbidden play, once whispered about in fragments now brought to life by Simon Bucher-Jones' original adaptation. Performed in the style of a classic live radio broadcast, the piece celebrates the power of storytelling in its purest form. Actors, sound effects, and music combine in real time to conjure vivid imagery without the need for elaborate sets, allowing each listener’s imagination to complete the picture in uniquely personal ways. This approach not only honours the traditions of early audio drama but also amplifies the unsettling ambiguity that defines The King in Yellow.
Ventnor Arts Club	2026-07-17	16:00	17:45	UNDER MY SKIN	https://purchase.vfringe.co.uk/EventAvailability?EventId=51001		Performing Arts	true	false	A heart felt homage to the king of swing ,chairmen of the board and leader of the pack ..Mr Francis Albert Sinatra & friends... His life in songs and stories ,focusing on the untold truth of his mission to support diversity and inclusivity . Tales pictures and songs to celebrate an incredible life well lived performed by the souths premier storyteller and tribute with a wealth of theatre film and television credits , kick back in this cosy venue in the town centres 1st show and Act !
Bosco Theatre	2026-07-17	17:00	17:55	Brainfools Circus + Theatre presents: Balance	https://purchase.vfringe.co.uk/EventAvailability?EventId=38202		Performing Arts	true	false	Two circus artists, two steel beer kegs, and a path of empty glass bottles. In Balance, Jared and Toffy find a physical language of trust in the inventory of a pub cellar. There are no traditional circus rigs—just the cold weight of metal, the sharp fragility of glass, and the constant negotiation of staying upright. They lift, they catch, they slip, and they hold on. It is an honest, high-stakes look at the visceral effort of relying on someone else to keep from falling. A circus duet about finding your centre when the ground feels like it's tipping.
Ventnor Exchange Arena	2026-07-17	18:00	19:00	Frisky's Remix Roulette	https://purchase.vfringe.co.uk/EventAvailability?EventId=46402		Comedy & Cabaret	true	false	The Matriarch of Twisted Pop Cabaret takes you on a spontaneous and interactive genre-spanning extravaganza. Frisky and her incredible band bring you their five-star smash-hit show. And what will that entail you ask? Any song. Any style. You decide. Heavy-Metal Madonna, Opera WAP, DrumnBass Candle in the Wind. Come play Remix Roulette with us. 'Bold, brilliant, and utterly unmissable' * * * * * London Theatre Doc 'Genre-bending, audience-driven and laugh-out-loud funny' * * * * * The Reviews Hub 'Eccentric, hilarious, and outrageously entertaining' * * * * * Suzzi’s Spotlight
Bijou	2026-07-17	18:15	19:15	Ruby Carr: BITE ME	https://purchase.vfringe.co.uk/EventAvailability?EventId=41002		Comedy & Cabaret	true	false	​New silly stand up show from “enchanting human shaped hurricane” (Edinburgh Reviews) Ruby Carr. Ruby has been promised a Hollywood smile from her dentist in 32 weeks. The NHS only has 12 to fix her OCD. Working on her teeth and her brain all means one thing, there’s a lot going on in her head. The plan is simple: fix her teeth, fix her life, so that she can move up a metaphorical floor in her head and finally fix that pesky mental health. Nominated Best Show at the Leicester Comedy Festival 2026 “Ruby commands the stage with a radiant, infectious energy” (SLEEC REVIEWS)
Pier Street Playhouse	2026-07-17	18:30	19:30	The Full English	https://purchase.vfringe.co.uk/EventAvailability?EventId=41402		Spoken Word, Walks & Talks	true	false	It's a bish-bosh, wish-wash, car crash mishmash!" From gangs of gung-ho Anglo-Saxons to Covidiots and Instagram influencers, this one-woman show by spoken word artist and linguistics nerd, Melanie Branton, celebrates the history of our glorious, multicultural tongue, through the media of performance poetry, silly hats and dad jokes. “A wonderfully eccentric, sharply intelligent, and surprisingly moving evening” ***** stars A Young(ish) Perspective “Funny, informative and clever” **** stars The Reviews Hub “Another triumph” Wolverhampton Express and Star
